epoch,train_loss,val_loss,val_acc,val_auc
0,0.390448524567327,0.3903294248240335,36.8231046931408,48.833269402889655
1,0.38995967073482646,0.3861821229968752,70.7581227436823,52.38780207134638
2,0.3892296107536717,0.38775321543216706,28.51985559566787,50.361207006776624
3,0.38885509683175035,0.38575344809464046,33.2129963898917,54.40161104718065
4,0.38837669658239926,0.38766185215541293,28.880866425992778,49.667561692878145
5,0.3884135931491086,0.387572591645377,37.18411552346571,51.57588543664493
6,0.3868198346938597,0.39061115511826106,55.23465703971119,49.79542258023271
7,0.3853278991977055,0.39274922694478714,40.43321299638989,50.700038358266205
8,0.38456650480125726,0.389663550896304,43.682310469314075,50.303669607467086
9,0.38492546195872906,0.3974291047879628,45.48736462093863,50.74159314665644
10,0.38372365207101905,0.3976803496479988,48.014440433213,51.320163661935815
11,0.3825770012113485,0.4253955125808716,50.18050541516246,51.17312364147807
12,0.38705609466157026,0.4338922811405999,53.42960288808665,51.003707965733284
13,0.38836681699293574,0.4443350766918489,58.12274368231047,51.061245365042836
14,0.3875844720900537,0.43715005165764265,53.79061371841155,50.923794911136675
