strategy,auc,acc,precision,recall,f1,tn,fp,fn,tp
X3D 단독,51.22,25.2,75.0,0.4,0.8,249,1,747,3
AASIST 단독,85.61,39.1,100.0,18.8,31.65,250,0,609,141
HSEmotion+GRU 단독,48.66,46.8,75.12,43.47,55.07,142,108,424,326
CRNN+GRU 단독,50.27,31.4,77.12,12.13,20.97,223,27,659,91
Score_artifact,77.41,39.2,99.31,19.07,31.99,249,1,607,143
Score_emotion,50.13,56.6,75.9,61.73,68.09,103,147,287,463
🌟 Score_final,58.89,64.1,78.37,72.0,75.05,101,149,210,540
