epoch,train_loss,val_auc,val_f1
1,0.2897239931361464,50.2,0.0
2,0.27761061107141777,50.2,0.0
3,0.2776145812188847,49.8,0.0
4,0.2792238708876877,50.0,0.0
5,0.277611368002117,50.0,0.0
6,0.27760979765103944,50.0,0.0
