epoch,train_loss,val_auc,val_f1
1,0.283170129778171,52.42053333333333,44.402634054562554
2,0.27442332342115017,66.31386666666666,57.47126436781609
3,0.24738366156965524,77.96640000000001,68.1704260651629
4,0.20339820315496138,83.35733333333334,70.843776106934
5,0.16076025970400895,86.85333333333334,82.53731343283583
6,0.13775245333621386,87.2112,81.41993957703929
7,0.12280143500693406,88.40159999999999,84.60977388767323
8,0.10410458141046211,86.1776,86.87541638907396
9,0.09432740526074597,88.0128,85.89928057553958
10,0.0847404200401959,89.66826666666667,87.74647887323944
11,0.07775228877242034,89.63306666666666,89.92758393680053
12,0.06320158880145557,90.19040000000001,85.25547445255475
13,0.059835098906907164,91.06506666666667,84.87084870848709
14,0.06292520681099138,88.01440000000001,88.5112168592794
15,0.05212654819506284,90.77546666666667,86.6096866096866
16,0.05774732889001672,88.70746666666666,88.34019204389575
17,0.047710249515506876,90.71306666666666,87.6944837340877
18,0.051909309124609775,89.8848,89.67391304347827
