scenario,name,X3D_auc,X3D_f1,AASIST_auc,AASIST_f1,MAEDFER_auc,MAEDFER_f1,CRNN_auc,CRNN_f1,artifact_auc,artifact_f1,emotion_auc,emotion_f1,final_auc,final_f1
FF,F→F (FakeAVCeleb In-Domain),99.18060000000001,98.88776541961577,78.00200000000001,71.70294494238156,80.0546,70.86446104589115,81.41520000000001,68.44660194174757,99.9886,99.69969969969969,88.32960000000001,76.24489795918367,99.77000000000001,79.39538583929992
FP,F→P (Cross: FakeAVCeleb→PolyGlotFake),49.121930599853975,5.153617443012884,64.09442288232205,3.992015968063872,53.766860085309155,42.183994016454754,63.37806940014603,46.21155288822206,53.130403873496526,9.68054211035818,62.242375334639874,73.421926910299,62.201385953451435,79.88136431043006
PF,P→F (Cross: PolyGlotFake→FakeAVCeleb),88.803,80.62442607897154,60.82719999999999,3.474903474903475,57.202,66.66666666666666,65.3312,29.17341977309562,88.38459999999999,80.47445255474453,65.7656,66.66666666666666,88.42919999999998,66.66666666666666
PP,P→P (PolyGlotFake In-Domain),99.14578770062381,93.22493224932249,96.37708309316118,84.76357267950964,56.171944049494684,68.92655367231639,97.2497085911181,93.56223175965665,99.64646658724973,97.9381443298969,96.21152442070475,89.27911275415896,99.64422498046599,88.86877828054298
