strategy,auc,acc,precision,recall,f1,tn,fp,fn,tp
X3D 단독,99.18,98.9,100.0,97.8,98.89,500,0,11,489
AASIST 단독,78.0,77.9,99.64,56.0,71.7,499,1,220,280
MAE-DFER 단독,80.05,72.7,75.97,66.4,70.86,395,105,168,332
CRNN v1 단독,81.42,74.0,87.04,56.4,68.45,458,42,218,282
Score_artifact,99.99,99.7,99.8,99.6,99.7,499,1,2,498
Score_emotion,88.33,70.9,64.41,93.4,76.24,242,258,33,467
🌟 Score_final,99.77,74.1,65.92,99.8,79.4,242,258,1,499
