strategy,auc,acc,precision,recall,f1,tn,fp,fn,tp
X3D 단독,49.12,26.38,96.3,2.65,5.15,317,1,956,26
AASIST 단독,64.09,26.0,100.0,2.04,3.99,318,0,962,20
MAE-DFER 단독,53.77,40.54,79.44,28.72,42.18,245,73,700,282
CRNN v1 단독,63.38,44.85,87.75,31.36,46.21,275,43,674,308
Score_artifact,53.13,28.23,98.04,5.09,9.68,317,1,932,50
Score_emotion,62.24,63.08,80.46,67.52,73.42,157,161,319,663
🌟 Score_final,62.2,68.69,77.62,82.28,79.88,85,233,174,808
