model,auc,acc,precision,recall,f1,tn,fp,fn,tp
영상 (HSEmotion),92.57560000000001,85.9,88.27292110874201,82.8,85.44891640866872,445,55,86,414
오디오 (CRNN),81.4218,74.1,87.07692307692308,56.599999999999994,68.60606060606061,458,42,217,283
Fusion (OR),94.5152,83.89999999999999,77.74140752864157,95.0,85.50855085508552,364,136,25,475
