strategy,auc,acc,precision,recall,f1,tn,fp,fn,tp
아티팩트 단독 OR,99.99,99.7,99.8,99.6,99.7,499,1,2,498
감정 단독 OR,94.52,83.9,77.74,95.0,85.51,364,136,25,475
🌟 4방향 OR (제출 그림),99.86,86.2,78.46,99.8,87.85,363,137,1,499
4방향 Mean,99.86,94.1,100.0,88.2,93.73,500,0,59,441
Weighted (art=0.7),99.94,99.8,100.0,99.6,99.8,500,0,2,498
Weighted (art=0.9),99.97,99.8,100.0,99.6,99.8,500,0,2,498
"조건부 (art 주, emo 보조)",99.99,99.8,100.0,99.6,99.8,500,0,2,498
