epoch,train_loss,val_loss,val_acc,val_auc
0,0.7018373616339776,0.41622133728335886,82.88973384030417,88.84932272029046
1,0.5374510157228316,0.3367438136654742,85.17110266159695,92.48010054461668
2,0.44688017821351955,0.291011483353727,88.97338403041825,94.58525345622121
3,0.37710323559757847,0.23541523910620632,90.49429657794677,97.05697528278174
4,0.32180419044206604,0.24947830048554084,93.15589353612167,97.24200530652143
5,0.3201437361488406,0.19103743968641057,93.91634980988593,98.24745147325793
6,0.26185476892446513,0.1560145556269323,93.15589353612167,98.52674207512916
7,0.2722796862132397,0.163912058205289,92.39543726235742,98.56863566540986
8,0.22622465894826307,0.1922726433395463,92.01520912547528,97.58413629381371
9,0.21777795922111146,0.14608775024466655,92.01520912547528,99.21798631476051
