epoch,train_loss,val_loss,val_acc,val_auc
0,0.423095326299008,0.4059573033203681,69.96197718631178,70.99217986314763
1,0.3588167284214853,0.1955581812018698,87.83269961977186,94.53288646837035
2,0.28726071557014377,0.18889422742932133,87.45247148288973,96.19815668202764
3,0.22263805205877996,0.20919672913397802,90.11406844106465,96.26797933249546
4,0.15373162403314888,0.1338733506567995,93.15589353612167,98.27887166596844
5,0.1351306805316085,0.2038581093811169,92.39543726235742,96.52981427174976
6,0.10748465815796633,0.25487379701321927,87.83269961977186,96.81957827119119
7,0.053969958483561946,0.1469510924673545,92.39543726235742,98.4394637620444
8,0.06391049819191795,0.21436197609088567,92.77566539923954,98.09384164222874
9,0.05913349097265219,0.19888297177041034,92.77566539923954,98.28236279849183
