epoch,train_loss,val_loss,val_acc,val_auc,lr_backbone,lr_head
0,0.3903526157522813,0.3854040001119886,54.151624548736464,53.759110088224006,9.938441702975689e-06,0.0009938441702975688
1,0.38974114364156354,0.3858866844858442,50.90252707581227,52.13847334100499,9.755282581475769e-06,0.0009755282581475768
2,0.3881884354333847,0.39180162719317846,35.37906137184115,47.79759621531774,9.45503262094184e-06,0.0009455032620941839
3,0.38724563734080547,0.3885112749678748,57.400722021660656,53.29881089374759,9.045084971874738e-06,0.0009045084971874737
4,0.3865378458912556,0.39195551957402913,46.931407942238266,49.41503644035289,8.535533905932739e-06,0.0008535533905932737
5,0.3844456019309851,0.3937029698065349,41.87725631768953,49.820994757703616,7.938926261462368e-06,0.0007938926261462366
6,0.3788978257813515,0.4032137198107583,52.707581227436826,52.13527681882113,7.269952498697736e-06,0.0007269952498697733
7,0.3782903707275788,0.40552350410393306,45.12635379061371,52.61155862421685,6.5450849718747394e-06,0.0006545084971874737
8,0.369027336486257,0.44312164187431335,49.458483754512635,53.40749264799898,5.7821723252011565e-06,0.0005782172325201155
9,0.36779834220233637,0.4160993414265769,53.79061371841155,56.0478199718706,5.000000000000001e-06,0.0005
10,0.3575281555262896,0.4646338831101145,57.400722021660656,58.569875974939265,4.217827674798848e-06,0.0004217827674798847
11,0.35421464109841067,0.4620405412146023,54.87364620938629,59.643907428717554,3.454915028125264e-06,0.00034549150281252633
12,0.34740196464535517,0.4719168448022434,57.761732851985556,59.81012658227848,2.7300475013022666e-06,0.00027300475013022663
13,0.3420567045179315,0.5023482082145555,58.844765342960294,60.56130929548651,2.061073738537635e-06,0.00020610737385376348
14,0.3450790005139051,0.4919606557914189,61.371841155234655,61.01841196777905,1.4644660940672626e-06,0.00014644660940672625
15,0.3492226824403191,0.5127910301089287,60.64981949458483,61.19422068789157,9.549150281252633e-07,9.549150281252631e-05
16,0.3383037637059505,0.49626553654670713,61.73285198555957,62.1595703874185,5.449673790581611e-07,5.4496737905816096e-05
17,0.34340977931442934,0.47216487037284033,58.844765342960294,62.81805395729445,2.447174185242324e-07,2.447174185242323e-05
18,0.3427511109516789,0.479434851024832,59.92779783393502,62.520777394195115,6.155829702431172e-08,6.15582970243117e-06
19,0.3365357377781318,0.5138784719364984,61.73285198555957,61.09832502237567,0.0,0.0
