epoch,train_loss,val_loss,val_acc,val_auc
0,0.2560412238702072,0.22925913124345243,66.0,76.60000000000001
1,0.2388230303553402,0.2319422556902282,69.6,79.03999999999999
2,0.23321256168345186,0.24814147069992032,76.4,78.53999999999999
3,0.2315020017682555,0.21368355357844848,66.4,79.95
4,0.22174241495193214,0.22769864190195221,73.2,79.58
5,0.2244084230822293,0.23665539133071434,74.4,80.64
6,0.22320703801315886,0.23670922542805783,74.4,79.52
7,0.21079222985761278,0.31069837774703046,75.6,79.77000000000001
8,0.2349849236428949,0.2213843724457547,74.0,80.94
9,0.20568506378706888,0.23424746640375815,76.0,80.27
10,0.2025254451213999,0.2390533841244178,67.2,79.34
