epoch,train_loss,val_loss,val_acc,val_auc
0,0.3899163085585221,0.3940381288528442,34.65703971119133,50.540212249073015
1,0.3909667376906444,0.3901802897453308,46.931407942238266,46.976090014064695
2,0.38891784961407,0.3912207305431366,53.068592057761734,46.867408259813324
3,0.38856660163937473,0.39497777138437545,37.90613718411552,42.65439202148064
4,0.38707920889823866,0.3928060105868748,46.57039711191336,46.58291778544943
5,0.3856912825543147,0.399146454674857,47.292418772563174,45.28512977880066
6,0.3839030637381933,0.40864682027271815,37.545126353790614,43.63572433192686
7,0.38135394501762515,0.41124704224722725,46.931407942238266,45.927630737757326
8,0.385373428893777,0.40418349078723365,42.59927797833935,45.51527937603887
9,0.3781094968987581,0.41678792749132426,36.462093862815884,45.29791586753611
10,0.3801725136163907,0.4123982148511069,32.49097472924188,44.60427055363765
11,0.37551893441913986,0.4385646445410592,36.101083032490976,42.580872011251756
12,0.3727524569974496,0.4225558749267033,45.84837545126354,45.50888633167114
13,0.36949883979291487,0.4437814337866647,35.37906137184115,43.96496611686485
14,0.3723418085047832,0.42094204255512785,44.04332129963899,47.17747091164812
