strategy,auc,acc,precision,recall,f1,tn,fp,fn,tp
비디오 아티팩트 단독,52.55254324643048,6.223603941811357,99.66329966329967,1.8179584817589978,3.5707823149767783,765,1,15986,296
오디오 아티팩트 단독,69.67571070329309,6.299859221022993,100.0,1.8916595012897677,3.7130801687763713,766,0,15974,308
비디오 감정 단독,52.08047827407478,27.73932426091037,95.45767377838953,25.55582852229456,40.31781405939635,568,198,12121,4161
오디오 감정 단독,70.02350943857336,40.99601126231816,98.63998749413788,38.75445276992998,55.6461925128974,679,87,9972,6310
아티팩트 OR,56.7829352633721,8.452604411074613,99.85228951255539,4.151824100233386,7.97216817029306,765,1,15606,676
감정 OR,64.02079712559609,75.96785546691694,96.44027746017227,77.70544159194202,86.06509982653651,299,467,3630,12652
🌟 4방향 OR (제출 그림),64.72695023064443,83.82801501642422,96.03785145346858,86.64169021004791,91.09812405153208,184,582,2175,14107
4방향 Mean,64.71897637686686,6.223603941811357,100.0,1.8118167301314336,3.559148217409664,766,0,15987,295
Weighted (art=0.7),62.335243102716696,13.35053965274519,99.60578186596584,9.310895467387299,17.02988092563469,760,6,14766,1516
