sync,fake_count,strategy,auc,acc,precision,recall,f1,tn,fp,fn,tp
video_retalking,7463,🌟 4방향 OR,61.980338862321304,80.61732895856119,91.72354948805462,86.42637009245611,88.99620558813383,184,582,1013,6450
video_retalking,7463,4방향 Mean,61.74046969400653,10.20780167699599,100.0,0.991558354549109,1.9636460130025206,766,0,7389,74
Wav2Lip,8819,🌟 4방향 OR,67.05124557499134,81.80490349504434,92.93603592669012,86.82390293684091,89.7760581545316,184,582,1162,7657
Wav2Lip,8819,4방향 Mean,67.23951106041223,10.297339593114241,100.0,2.50595305590203,4.889380530973451,766,0,8598,221
