epoch,train_loss,val_loss,val_acc,val_auc
0,0.2798278375097003,0.31123982405378703,79.60000000000001,77.38500000000002
1,0.2843866055371442,0.30650219560733866,80.0,75.74000000000001
2,0.2695312116453904,0.2623601777272092,67.60000000000001,78.295
3,0.2662551781463687,0.24002789244765327,76.8,79.57
4,0.2717893847444659,0.23000076989687623,78.8,80.21499999999999
5,0.2674203144574991,0.2214498474957451,74.0,80.04999999999998
6,0.2588820119982264,0.27174498170377714,77.60000000000001,79.78999999999999
7,0.25481815715064005,0.2505414496131596,78.8,80.61500000000001
8,0.24713314294179844,0.2516995539060897,78.4,81.37
9,0.2342876374752957,0.2597793846110266,81.6,83.135
10,0.25201655021119285,0.26700653568176286,80.4,81.85500000000002
11,0.23615983640692373,0.29313327682514984,80.80000000000001,82.615
12,0.25215796488014647,0.2607050878587105,80.80000000000001,82.48500000000001
13,0.24201275593043697,0.25414260991272475,79.60000000000001,82.17
14,0.24505007843078375,0.26021737048018073,80.4,82.03999999999999
