epoch,val_loss,val_acc
0,0.20663034684956075,91.0
1,0.18874199353158475,94.0
2,0.0380529671657132,99.0
3,0.0422814696864225,100.0
4,0.056807239649351686,96.0
5,0.01886044622922782,100.0
6,0.05162699613312725,98.0
7,0.007198401976565947,100.0
8,0.003058959928457625,100.0
9,0.002237287546522566,100.0
10,0.0022762503098783782,100.0
11,0.004062959161747131,100.0
