epoch,val_loss,val_acc,time
0,0.8132617461681366,50.0,247.97576689720154
1,0.8132617461681366,50.0,254.86200189590454
2,0.8132617461681366,50.0,257.6383008956909
3,0.8132617461681366,50.0,254.77573943138123
4,0.8132617461681366,50.0,255.53571772575378
