epoch,train_loss,val_loss,val_acc,val_auc
0,0.2740583675210472,0.2925589349534776,23.400000000000002,50.62930976769098
1,0.2725468374801995,0.2915403431370145,23.400000000000002,52.77052509428488
2,0.2724650053846688,0.29231370370539406,23.400000000000002,51.128071232509875
3,0.2720163329562328,0.2926066593518333,26.8,55.79210461716989
4,0.27259193988083524,0.29220845538472373,63.4,51.149271384258334
5,0.2725657296778889,0.291284546019539,23.400000000000002,50.8134163486644
6,0.27226157399096246,0.2919598396808382,23.400000000000002,50.540045970855374
7,0.27208076586837665,0.29234269143096986,23.400000000000002,51.88904510053335
8,0.2721756117329081,0.2920628928002857,23.400000000000002,52.704693044118635
9,0.2719635754347271,0.29258835977978176,37.4,53.77474280868536
10,0.2717752987336943,0.2921840338006852,44.800000000000004,52.925620941286745
