epoch,train_loss,val_loss,val_acc,val_auc
0,0.273746865892495,0.2940750845840999,38.800000000000004,51.57439021668788
1,0.2722047776460224,0.2885552178772669,36.199999999999996,55.01439378723973
2,0.2715706858605305,0.295525764662122,54.0,54.60935930909822
3,0.268530761899152,0.29251947147505625,56.8,54.09832407221441
4,0.2674971729199374,0.29059755707543994,57.199999999999996,58.050478677110526
5,0.26561081917628937,0.2848380773313462,43.4,58.26917497935775
6,0.2628490470124816,0.3002496747270463,48.0,54.765570953560506
7,0.25945306909444277,0.28812042209837174,51.0,58.600566825109915
8,0.2558567775264515,0.2975152740402827,51.0,55.547744973332435
9,0.25365762083028603,0.29660942251720124,46.2,58.32608064984044
10,0.24902296751790529,0.31733255916171604,47.0,54.742139206891174
11,0.25106745676450154,0.30261460230464027,51.6,56.551962687732924
12,0.24499319481860257,0.303113348427273,40.8,55.77425185780277
13,0.2395126901262607,0.33840691593904343,50.2,55.01774117962107
14,0.23665488319435085,0.3309290498968155,51.0,54.37504184240477
