strategy,auc,acc,precision,recall,f1,tn,fp,fn,tp
X3D 단독,49.7,51.7,74.14,54.67,62.93,107,143,340,410
AASIST 단독,56.12,25.8,70.0,1.87,3.64,244,6,736,14
HSEmotion+GRU 단독,51.68,38.9,74.73,28.0,40.74,179,71,540,210
CRNN+GRU 단독,49.54,27.6,74.07,5.33,9.95,236,14,710,40
Score_artifact,49.8,51.7,73.8,55.2,63.16,103,147,336,414
Score_emotion,50.82,42.7,75.65,34.8,47.67,166,84,489,261
🌟 Score_final,49.24,60.1,74.61,70.93,72.73,69,181,218,532
