strategy,auc,acc,precision,recall,f1,tn,fp,fn,tp
X3D 단독,49.12,26.38,96.3,2.65,5.15,317,1,956,26
AASIST 단독,64.09,26.0,100.0,2.04,3.99,318,0,962,20
HSEmotion+GRU 단독,53.32,42.23,80.0,31.36,45.06,241,77,674,308
CRNN+GRU 단독,54.1,40.77,81.36,28.0,41.67,255,63,707,275
Score_artifact,53.13,28.23,98.04,5.09,9.68,317,1,932,50
Score_emotion,57.5,60.38,77.12,67.62,72.06,121,197,318,664
🌟 Score_final,58.48,64.15,76.17,76.48,76.32,83,235,231,751
