strategy,auc,acc,precision,recall,f1,tn,fp,fn,tp
X3D 단독,88.8,78.9,74.53,87.8,80.62,350,150,61,439
AASIST 단독,60.83,50.0,50.0,1.8,3.47,491,9,491,9
HSEmotion+GRU 단독,63.12,57.7,66.24,31.4,42.61,420,80,343,157
CRNN+GRU 단독,50.84,53.8,69.0,13.8,23.0,469,31,431,69
Score_artifact,88.38,78.6,73.99,88.2,80.47,345,155,59,441
Score_emotion,62.04,59.8,65.03,42.4,51.33,386,114,288,212
🌟 Score_final,87.65,72.7,66.19,92.8,77.27,263,237,36,464
