scenario,name,X3D_auc,X3D_f1,AASIST_auc,AASIST_f1,HSEmo_auc,HSEmo_f1,CRNN_auc,CRNN_f1,artifact_auc,artifact_f1,emotion_auc,emotion_f1,final_auc,final_f1
FF,F→F (FakeAVCeleb In-Domain),99.18060000000001,98.88776541961577,78.00200000000001,71.70294494238156,93.17440000000002,87.47514910536779,84.78320000000001,76.31578947368422,99.9886,99.69969969969969,96.444,82.16398985629755,99.7164,83.34728033472804
FP,F→P (Cross: FakeAVCeleb→PolyGlotFake),49.121930599853975,5.153617443012884,64.09442288232205,3.992015968063872,53.32126067965517,45.06217995610827,54.09829765976251,41.66666666666667,53.130403873496526,9.68054211035818,57.50169721656484,72.05642973412914,58.482560299222484,76.3211382113821
PF,P→F (Cross: PolyGlotFake→FakeAVCeleb),88.803,80.62442607897154,60.82719999999999,3.474903474903475,63.1224,42.60515603799186,50.84399999999999,23.0,88.38459999999999,80.47445255474453,62.041999999999994,51.3317191283293,87.6488,77.26894254787678
PP,P→P (PolyGlotFake In-Domain),99.14578770062381,93.22493224932249,96.37708309316118,84.76357267950964,70.99889200578974,68.65127582017011,97.73821875520373,94.60758142018153,99.64646658724973,97.9381443298969,97.46762479345195,93.34637964774952,99.37651308457902,94.11764705882352
