strategy,auc,acc,precision,recall,f1,tn,fp,fn,tp
X3D 단독,99.18,98.9,100.0,97.8,98.89,500,0,11,489
AASIST 단독,78.0,77.9,99.64,56.0,71.7,499,1,220,280
HSEmotion+GRU 단독,93.17,87.4,86.96,88.0,87.48,434,66,60,440
CRNN+GRU 단독,84.78,76.6,77.25,75.4,76.32,389,111,123,377
Score_artifact,99.99,99.7,99.8,99.6,99.7,499,1,2,498
Score_emotion,96.44,78.9,71.16,97.2,82.16,303,197,14,486
🌟 Score_final,99.72,80.1,71.65,99.6,83.35,303,197,2,498
