strategy,auc,acc,precision,recall,f1,tn,fp,fn,tp
X3D 단독,99.15,90.38,99.65,87.58,93.22,315,3,122,860
AASIST 단독,96.38,79.92,99.32,73.93,84.76,313,5,256,726
HSEmotion+GRU 단독,71.0,60.31,85.09,57.54,68.65,219,99,417,565
CRNN+GRU 단독,97.74,92.23,99.44,90.22,94.61,313,5,96,886
Score_artifact,99.65,96.92,99.16,96.74,97.94,310,8,32,950
Score_emotion,97.47,89.54,89.83,97.15,93.35,210,108,28,954
🌟 Score_final,99.38,90.62,89.38,99.39,94.12,202,116,6,976
