scenario,name,X3D_auc,X3D_f1,AASIST_auc,AASIST_f1,MAEDFER_auc,MAEDFER_f1,CRNN_auc,CRNN_f1,artifact_auc,artifact_f1,emotion_auc,emotion_f1,final_auc,final_f1
FF,F→F (FakeAVCeleb In-Domain),99.18060000000001,98.88776541961577,78.00200000000001,71.70294494238156,87.73679999999999,78.8550323176362,81.41520000000001,68.44660194174757,99.9886,99.69969969969969,92.0268,78.02907915993538,99.7828,79.52191235059762
FP,F→P (Cross: FakeAVCeleb→PolyGlotFake),49.121930599853975,5.153617443012884,64.09442288232205,3.992015968063872,53.18916599418463,85.2212389380531,63.37806940014603,46.21155288822206,53.130403873496526,9.68054211035818,58.59576144180147,85.85237258347979,59.650117204011835,86.00263273365512
PF,P→F (Cross: PolyGlotFake→FakeAVCeleb),88.803,80.62442607897154,60.82719999999999,3.474903474903475,58.94759999999999,66.66666666666666,65.3312,29.17341977309562,88.38459999999999,80.47445255474453,66.0122,66.711140760507,88.5012,66.66666666666666
PP,P→P (PolyGlotFake In-Domain),99.14578770062381,93.22493224932249,96.37708309316118,84.76357267950964,54.62795731980684,20.87421944692239,97.2497085911181,93.56223175965665,99.64646658724973,97.9381443298969,96.38701020891776,93.76609994848016,99.62821350343927,95.5078125
