strategy,auc,acc,precision,recall,f1,tn,fp,fn,tp
X3D 단독,88.8,78.9,74.53,87.8,80.62,350,150,61,439
AASIST 단독,60.83,50.0,50.0,1.8,3.47,491,9,491,9
MAE-DFER 단독,58.95,50.1,50.05,99.8,66.67,2,498,1,499
CRNN v1 단독,65.33,56.3,76.92,18.0,29.17,473,27,410,90
Score_artifact,88.38,78.6,73.99,88.2,80.47,345,155,59,441
Score_emotion,66.01,50.1,50.05,100.0,66.71,1,499,0,500
🌟 Score_final,88.5,50.0,50.0,100.0,66.67,0,500,0,500
