strategy,auc,acc,precision,recall,f1,tn,fp,fn,tp
X3D 단독,49.12,26.38,96.3,2.65,5.15,317,1,956,26
AASIST 단독,64.09,26.0,100.0,2.04,3.99,318,0,962,20
MAE-DFER 단독,53.19,74.31,75.35,98.07,85.22,3,315,19,963
CRNN v1 단독,63.38,44.85,87.75,31.36,46.21,275,43,674,308
Score_artifact,53.13,28.23,98.04,5.09,9.68,317,1,932,50
Score_emotion,58.6,75.23,75.5,99.49,85.85,1,317,5,977
🌟 Score_final,59.65,75.46,75.56,99.8,86.0,1,317,2,980
