strategy,auc,acc,precision,recall,f1,tn,fp,fn,tp
X3D 단독,99.15,90.38,99.65,87.58,93.22,315,3,122,860
AASIST 단독,96.38,79.92,99.32,73.93,84.76,313,5,256,726
HSEmotion+GRU 단독,51.67,32.08,75.38,14.97,24.98,270,48,835,147
CRNN+GRU 단독,97.25,90.77,98.87,88.8,93.56,308,10,110,872
Score_artifact,99.65,96.92,99.16,96.74,97.94,310,8,32,950
Score_emotion,95.11,88.15,92.24,92.06,92.15,242,76,78,904
🌟 Score_final,99.44,92.54,91.47,99.39,95.27,227,91,6,976
