epoch,train_loss,val_loss,val_acc,val_auc
0,0.26725367837129754,0.2354591293260455,55.2,75.925
1,0.23111533138451848,0.24882418615743518,68.4,76.785
2,0.2181501715371372,0.27153168234508485,77.60000000000001,78.325
3,0.20926192792542014,0.27288268523989245,71.2,78.065
4,0.18820638375370002,0.2681110964040272,80.0,83.10499999999999
5,0.18489736162707315,0.28325539524666965,80.80000000000001,83.305
6,0.18551073451559488,0.2637983023596462,82.0,84.01
7,0.16766476587240473,0.26175730358227156,79.60000000000001,84.74
8,0.15805642347426174,0.2623076816962566,84.0,86.455
9,0.15384499623327919,0.27219040869385935,78.8,85.42500000000001
10,0.1543394722414355,0.3020944634336047,82.8,86.55000000000001
11,0.14496601330189046,0.37494866983251995,83.6,85.61500000000001
12,0.1384366482516077,0.29229675343231065,84.0,85.345
13,0.1336245282473875,0.3177782529965043,82.8,85.065
14,0.13845083004372286,0.31904308043885976,83.6,85.975
15,0.11876878542462298,0.33774323768011527,84.8,85.36500000000001
16,0.12623674850844852,0.33325798047007993,83.2,86.065
17,0.10884678638820926,0.3224183580168756,82.0,85.31
18,0.12141928618405583,0.3260323854483431,82.8,85.79499999999999
19,0.11464873148237374,0.32345886329494533,83.2,85.86500000000001
